,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP
25976,dawlebi01,1987,1,SLN,NL,5,8,60,0,0,0,2,290,93,48,15,38,65,0.259,4.47,11.0,4,1.0,1,406.0,17,51,6.0,2.0,6.0,96.67
25977,dayleke01,1987,1,SLN,NL,9,5,53,0,0,0,4,183,52,18,2,33,63,0.234,2.66,8.0,5,2.0,0,260.0,29,21,2.0,1.0,8.0,61.0
25978,dedmoje01,1987,1,ATL,NL,3,4,53,3,0,0,4,269,82,39,8,42,40,0.246,3.91,1.0,2,1.0,1,384.0,14,46,2.0,5.0,9.0,89.67
25979,deleojo01,1987,1,CHA,AL,11,12,33,31,2,0,0,618,177,92,24,97,153,0.23,4.02,4.0,6,10.0,1,889.0,0,106,6.0,6.0,12.0,206.0
25980,deleolu01,1987,1,BAL,AL,0,2,11,0,0,0,1,62,19,11,1,8,13,0.253,4.79,2.0,0,2.0,0,89.0,3,15,0.0,4.0,3.0,20.67
25981,deshaji01,1987,1,HOU,NL,11,6,26,25,1,0,0,456,149,78,22,57,104,0.257,4.62,7.0,4,0.0,5,648.0,0,81,9.0,3.0,5.0,152.0
25982,dipinfr01,1987,1,CHN,NL,3,3,69,0,0,0,4,240,75,28,7,34,61,0.253,3.15,2.0,5,1.0,0,343.0,20,31,6.0,4.0,5.0,80.0
25983,dixonke01,1987,1,BAL,AL,7,10,34,15,0,0,5,315,128,75,31,27,91,0.292,6.43,4.0,5,1.0,1,470.0,13,81,1.0,2.0,7.0,105.0
25984,dotsori01,1987,1,CHA,AL,11,12,31,31,7,2,0,634,201,98,24,86,114,0.249,4.17,2.0,5,0.0,0,900.0,0,109,4.0,3.0,19.0,211.33
25985,downske01,1987,1,SFN,NL,12,9,41,28,4,3,1,558,185,75,14,67,137,0.258,3.63,11.0,12,4.0,4,797.0,4,83,7.0,1.0,15.0,186.0
25986,drabedo01,1987,1,PIT,NL,11,12,29,28,1,1,0,529,165,76,22,46,120,0.247,3.88,2.0,5,0.0,1,721.0,0,86,3.0,4.0,8.0,176.33
25987,draveda01,1987,1,SDN,NL,3,7,30,10,1,0,0,237,71,33,10,31,60,0.24,3.76,4.0,1,3.0,1,335.0,8,39,2.0,3.0,6.0,79.0
