,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,IP,ERA,WAR
47,seaveto01,311.0,205.0,656.0,647.0,231.0,1.0,14348.0,3971.0,1521.0,380.0,1390.0,3640.0,5.027000000000001,116.0,126.0,76.0,8.0,19369.0,6.0,1674.0,,,,20,1,BBWAA,4782.666666666667,2.8622107610816836,106.02
48,fingero01,114.0,118.0,944.0,37.0,4.0,341.0,5104.0,1474.0,549.0,123.0,492.0,1299.0,4.319000000000001,109.0,40.0,39.0,7.0,6942.0,709.0,615.0,,,,17,1,BBWAA,1701.3333333333333,2.9041927899686524,24.99
49,newhoha01,207.0,150.0,488.0,374.0,212.0,26.0,8979.0,2674.0,1016.0,137.0,1249.0,1796.0,3.93,,65.0,19.0,7.0,12648.0,79.0,1197.0,,,,17,1,Veterans,2993.0,3.0551286334781156,60.0
50,carltst01,329.0,244.0,741.0,709.0,254.0,2.0,15652.0,4672.0,1864.0,414.0,1833.0,4136.0,6.872999999999999,150.0,183.0,53.0,90.0,21683.0,13.0,2130.0,,,,24,1,BBWAA,5217.333333333333,3.215435727063634,84.11
51,willivi01,249.0,205.0,513.0,471.0,388.0,11.0,11988.0,3621.0,1167.0,66.0,1212.0,1651.0,,,94.0,156.0,6.0,16263.0,41.0,1620.0,,,,13,1,Veterans,3996.0,2.6283783783783785,67.0
52,bunniji01,224.0,184.0,591.0,519.0,151.0,16.0,11281.0,3433.0,1366.0,372.0,1000.0,2855.0,4.4110000000000005,98.0,47.0,160.0,8.0,15618.0,39.0,1527.0,,,,17,1,Veterans,3760.3333333333335,3.2693910114351565,60.38
53,niekrph01,318.0,274.0,864.0,716.0,245.0,29.0,16213.0,5044.0,2012.0,482.0,1809.0,3342.0,6.683,86.0,226.0,123.0,42.0,22677.0,83.0,2337.0,,,,24,1,BBWAA,5404.333333333333,3.350644544501326,96.96
54,suttodo01,324.0,256.0,774.0,756.0,178.0,5.0,15847.0,4692.0,1914.0,472.0,1343.0,3574.0,5.941000000000001,102.0,112.0,82.0,21.0,21631.0,12.0,2104.0,,,,23,1,BBWAA,5282.333333333333,3.2610588754969396,68.29
55,ryanno01,324.0,292.0,807.0,773.0,222.0,3.0,16158.0,3923.0,1911.0,321.0,2795.0,5714.0,5.637000000000001,78.0,277.0,158.0,33.0,22575.0,13.0,2178.0,,,,27,1,BBWAA,5386.0,3.1932788711474194,83.6
56,eckerde01,197.0,171.0,1071.0,361.0,100.0,390.0,9857.0,3076.0,1278.0,347.0,738.0,2401.0,6.063000000000002,91.0,28.0,75.0,16.0,13534.0,577.0,1382.0,109.0,93.0,146.0,24,1,BBWAA,3285.6666666666665,3.5006594298468094,62.25
