,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR,TimeFrame,Name,cluster,num_of_20_wins,IP,ERA
516,parkch01,124,98,476,287,10,2,5979,1872,965,230,910,1715,4.885000000000001,35.0,75,138.0,14,8714.0,52,1046,99.0,56.0,171.0,17,0.0,0,18.07,1994 - 2010,Chan Ho Park,2,0.0,1993.0,4.357752132463623
517,byrdpa01,109,96,345,256,17,0,5091,1857,831,247,401,923,4.755,23.0,35,62.0,7,7266.0,30,929,39.0,57.0,124.0,14,0.0,0,15.920000000000002,1995 - 2009,Paul Byrd,2,0.0,1697.0,4.407189157336476
518,estessh01,101,93,283,281,14,0,5035,1708,879,158,858,1210,3.749,36.0,79,57.0,9,7403.0,0,950,102.0,49.0,241.0,13,0.0,0,9.26,1995 - 2008,Shawn Estes,2,0.0,1678.3333333333333,4.713604766633566
521,loaizes01,126,114,377,333,14,1,6297,2352,1084,259,604,1382,5.329000000000001,40.0,32,75.0,9,9106.0,16,1170,73.0,79.0,182.0,14,0.0,0,22.95,1995 - 2008,Esteban Loaiza,2,1.0,2099.0,4.647927584564078
524,pettian01,256,153,531,521,26,0,9948,3448,1418,288,1031,2448,4.797000000000001,42.0,69,55.0,11,14074.0,3,1572,108.0,82.0,362.0,18,0.0,0,60.67,1995 - 2013,Andy Pettitte,2,2.0,3316.0,3.848612786489747
527,schmija01,130,96,323,314,20,0,5989,1846,878,184,792,1758,4.065,35.0,93,52.0,11,8532.0,1,958,81.0,57.0,120.0,14,0.0,0,31.7,1995 - 2009,Jason Schmidt,2,0.0,1996.3333333333333,3.9582568041409254
528,suppaje01,140,146,448,417,16,0,7628,2843,1328,337,871,1390,5.785999999999999,58.0,89,94.0,6,11139.0,16,1451,112.0,80.0,273.0,17,0.0,0,15.67,1995 - 2012,Jeff Suppan,2,0.0,2542.6666666666665,4.7005768222338755
531,desseel01,52,64,441,140,2,5,3523,1300,579,145,348,693,4.8950000000000005,45.0,22,24.0,4,5062.0,64,628,59.0,35.0,112.0,14,0.0,0,11.32,1996 - 2010,Elmer Dessens,2,0.0,1174.3333333333333,4.437411297189895
532,hernali01,178,177,519,474,50,1,9567,3525,1572,362,1066,1976,6.3530000000000015,86.0,41,78.0,13,13816.0,17,1686,174.0,118.0,299.0,17,0.0,0,24.76,1996 - 2012,Livan Hernandez,2,0.0,3189.0,4.436500470366886
534,moehlbr01,84,107,332,252,11,1,4702,1834,837,199,454,859,4.351000000000001,37.0,25,36.0,3,6844.0,40,897,58.0,42.0,159.0,14,0.0,0,12.43,1996 - 2010,Brian Moehler,2,0.0,1567.3333333333333,4.806252658443216
535,wrighja01,97,130,719,248,6,2,6110,2168,1088,200,978,1189,5.718999999999999,73.0,87,155.0,13,9038.0,133,1208,80.0,60.0,271.0,19,0.0,0,10.17,1996 - 2014,Jamey Wright,2,0.0,2036.6666666666667,4.80785597381342
536,carpech01,144,94,350,332,33,0,6658,2205,927,220,627,1697,4.073,23.0,51,85.0,3,9305.0,6,1021,75.0,48.0,223.0,15,0.0,0,35.24,1997 - 2012,Chris Carpenter,2,1.0,2219.3333333333335,3.7592370081105435
538,lowede01,176,157,681,377,10,86,8014,2759,1195,217,794,1722,5.118,67.0,55,78.0,13,11358.0,168,1333,100.0,56.0,315.0,17,0.0,0,33.06,1997 - 2013,Derek Lowe,2,1.0,2671.3333333333335,4.026079361118043
