,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR,TimeFrame,Name,cluster
98,ferrewe01,193,128,374,323,227,13,7869,2845,1177,132,1040,985,4.960000000000001,0.0,35,23.0,6,11568.0,43,1382,0.0,0.0,0.0,15,0.0,0,48.84,1927 - 1941,Wes Ferrell,1
99,frankfr02,106,97,402,216,81,12,5664,2033,822,111,701,622,3.81,0.0,32,43.0,6,8287.0,115,969,0.0,0.0,0.0,13,0.0,0,16.580000000000002,1927 - 1939,Fred Frankhouse,1
100,browncl01,89,93,434,130,62,64,4457,1740,704,84,368,410,4.43,0.0,18,20.0,0,6495.0,249,830,0.0,0.0,0.0,15,0.0,0,20.01,1928 - 1942,Clint Brown,1
101,hardeme01,223,186,582,433,181,23,10279,3706,1447,161,1118,1160,5.510000000000002,0.0,33,59.0,2,14862.0,95,1714,0.0,0.0,0.0,20,0.0,0,48.47,1928 - 1947,Mel Harder,1
102,hubbeca01,253,154,535,431,260,33,10771,3461,1188,227,725,1677,3.97,0.0,53,53.0,1,14805.0,82,1380,0.0,0.0,0.0,16,1.0,BBWAA,68.84,1928 - 1943,Carl Hubbell,1
103,johnssi01,101,165,492,272,108,15,6844,2510,1036,120,687,840,5.609999999999999,0.0,26,36.0,3,9903.0,115,1226,0.0,0.0,0.0,17,0.0,0,12.09,1928 - 1947,Si Johnson,1
104,frencla01,197,171,570,384,198,17,9456,3375,1206,164,819,1187,3.99,0.0,34,42.0,4,13465.0,109,1440,0.0,0.0,0.0,14,0.0,0,45.0,1929 - 1942,Larry French,1
105,newsobo01,211,222,600,483,246,21,11278,3769,1664,206,1732,2082,7.69,0.0,60,61.0,7,16467.0,71,1908,0.0,0.0,0.0,20,0.0,0,51.26,1929 - 1953,Bobo Newsom,1
106,wyattwh01,106,95,360,210,97,13,5283,1684,741,98,642,872,4.57,0.0,24,33.0,2,7521.0,101,860,0.0,0.0,0.0,16,0.0,0,22.06,1929 - 1945,Whit Wyatt,1
107,bridgto01,194,138,424,362,200,10,8479,2675,1122,181,1192,1674,3.940000000000001,0.0,59,35.0,8,12165.0,47,1321,0.0,0.0,0.0,16,0.0,0,51.61,1930 - 1946,Tommy Bridges,1
108,gomezle01,189,102,368,320,173,9,7509,2290,930,138,1095,1468,3.45,0.0,39,19.0,0,10729.0,31,1091,0.0,0.0,0.0,14,1.0,Veterans,43.18,1930 - 1943,Lefty Gomez,1
