,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR
3253,faganev01,2,7,38,2,0,3,247,88,50,6,38,21,0.54,,0,5.0,2,374.0,19,55,,,,2,0.0,,-1.1
3254,farreke01,0,1,5,0,0,0,69,24,11,1,9,4,0.27,,2,0.0,0,97.0,4,11,,,,1,0.0,,0.04
3255,gentrru01,13,17,48,34,12,0,729,251,118,11,134,78,1.56,,5,7.0,0,1080.0,9,126,,,,5,0.0,,0.49
3256,gerheal01,25,50,149,79,27,1,1929,726,295,25,224,255,1.4300000000000002,,17,6.0,1,2847.0,43,347,,,,5,0.0,,2.37
3257,greggha01,40,48,200,115,27,9,2481,805,417,41,443,401,2.51,,24,29.0,0,3706.0,42,486,,,,9,0.0,,-0.9699999999999999
3258,haefnmi01,78,91,261,179,91,13,4400,1414,571,76,577,508,2.5,,19,39.0,3,6322.0,48,666,,,,8,0.0,,15.73
3259,hanskdo01,0,0,3,0,0,0,12,6,4,0,3,0,0.6799999999999999,,0,0.0,1,20.0,3,4,,,,2,0.0,,-0.14
3260,haughch01,0,1,1,0,0,0,21,5,3,0,10,0,0.23,,0,0.0,0,33.0,1,6,,,,1,0.0,,-0.19
3261,karlan01,18,23,191,4,1,26,1268,451,165,16,130,107,1.8,,4,5.0,2,1800.0,107,200,,,,5,0.0,,4.98
3262,kliemed01,26,28,222,32,10,33,1626,525,210,17,239,130,2.67,,9,17.0,1,2318.0,106,232,,,,8,0.0,,5.31
3263,krausja01,15,25,70,39,10,2,919,318,136,14,133,83,0.8,,9,5.0,0,1354.0,17,155,,,,3,0.0,,2.4299999999999997
3264,kuczybe01,0,1,6,1,0,0,74,36,11,2,9,8,0.33,,3,2.0,0,119.0,5,15,,,,1,0.0,,-0.07
3265,lamacal01,2,2,16,1,0,0,92,38,22,3,14,7,1.3800000000000001,,4,0.0,0,142.0,10,23,,,,3,0.0,,-0.54
3266,lindqca01,0,2,7,2,0,0,65,25,12,4,6,5,0.53,,0,0.0,0,97.0,3,15,,,,2,0.0,,-0.27
3267,lucielo01,3,5,33,9,3,1,305,118,43,2,47,31,1.13,,0,2.0,0,454.0,16,50,,,,3,0.0,,0.33999999999999997
3268,mainsji01,0,1,1,1,1,0,24,9,5,0,3,4,0.28,,0,0.0,1,36.0,0,5,,,,1,0.0,,-0.09
3269,mallobo01,4,7,48,3,1,2,348,116,42,4,52,35,2.0900000000000003,,1,2.0,0,474.0,26,52,,,,5,0.0,,0.8400000000000001
3270,maltzgo01,20,13,135,0,0,33,880,258,88,17,74,136,0.91,,2,5.0,0,1193.0,106,93,,,,4,0.0,,6.869999999999999
3271,martira01,1,0,5,1,1,0,44,10,4,0,6,3,0.44,,0,0.0,0,59.0,4,4,,,,3,0.0,,0.52
3272,matthda01,0,3,28,2,0,0,174,53,28,2,24,16,0.5,,0,0.0,0,242.0,12,28,,,,2,0.0,,0.34
3273,mckeero01,1,0,5,1,1,0,46,14,10,1,6,1,0.47,,2,0.0,0,68.0,3,10,,,,2,0.0,,-0.11
3274,mertzji01,5,7,33,10,2,3,350,109,60,7,58,53,0.25,,2,0.0,1,499.0,12,65,,,,1,0.0,,-1.09
3275,milleox01,4,6,24,10,4,1,275,123,65,12,33,27,1.6,,4,2.0,0,427.0,5,66,,,,4,0.0,,-1.02
3276,mungere01,77,56,273,161,54,12,3686,1243,523,86,500,564,3.0,,17,11.0,1,5287.0,51,574,,,,10,0.0,,15.6
3277,niemeja01,0,0,3,0,0,0,9,5,2,0,2,1,0.38,,0,0.0,0,15.0,3,3,,,,1,0.0,,-0.08
3278,oanapr01,3,2,13,1,0,1,136,37,19,4,26,18,0.34,,0,2.0,0,197.0,8,23,,,,2,0.0,,-0.019999999999999962
3279,odomda01,0,3,22,3,1,2,164,54,32,3,30,17,0.26,,1,4.0,0,238.0,13,32,,,,1,0.0,,-0.49
3280,oneilem01,15,26,66,49,19,0,1067,348,188,14,260,144,1.09,,16,8.0,2,1629.0,9,208,,,,4,0.0,,
3281,orreljo01,4,4,32,7,1,1,269,90,30,1,46,26,0.79,,3,5.0,0,395.0,14,40,,,,3,0.0,,0.72
